Origin,Destination,Travel_Time_Min,Transfers,Target_Flow_Baseline,Predicted_Flow
QUB,TAW,3.8699999999999997,1,0.042164026495874266,0.04250025
QUB,TIH,0.21000000000000002,0,0.6830134553650707,0.68176067
QUB,TIK,0.26,0,0.6298815822625345,0.64147717
QUB,TIS,8.3,2,0.011562030292519366,0.011646236
QUB,TKO,0.4,0,0.5102040816326532,0.51553994
QUB,TKW,6.81,2,0.016394490795313146,0.016577544
QUB,TSH,11.099999999999998,2,0.006830134553650709,0.006794795
QUB,TST,3.5900000000000003,1,0.047465124999406694,0.047562882
QUB,TSW,5.260000000000002,1,0.02551827618940684,0.025384651
QUB,TSY,7.99,1,0.012373159647166978,0.012548163
QUB,TUC,8.250000000000002,2,0.011687363038714387,0.011661855
QUB,TUM,10.74,2,0.007255440855097236,0.0073381285
QUB,TWH,5.170000000000002,1,0.02626816114991501,0.026140802
QUB,TWO,4.42,1,0.034040930815212214,0.03415797
QUB,TWW,7.800000000000002,2,0.012913223140495866,0.013025447
QUB,UNI,4.1499999999999995,1,0.037703836365350185,0.037800595
QUB,WAC,0.39,0,0.5175715542673773,0.51553994
QUB,WCH,4.41,1,0.03416689159870302,0.03415797
QUB,WHA,4.38,1,0.034548997388095797,0.034237307
QUB,WKS,14.649999999999999,2,0.004082924190305097,0.0041328445
QUB,WTS,3.75,1,0.0443213296398892,0.0444596
QUB,YAT,0.1,0,0.8264462809917354,0.83401775
QUB,YMT,3.8500000000000005,1,0.04251248804336273,0.042561732
QUB,YUL,7.940000000000001,2,0.012511948911210203,0.012548163
SHM,ADM,3.71,1,0.04507733015988929,0.045015525
SHM,AIR,14.429999999999998,2,0.00420018237191859,0.0043425094
SHM,AUS,4.84,0,0.029320698067179587,0.029665023
SHM,AWE,15.629999999999997,2,0.0036158924257539784,0.003565471
