Station Code,Station ID,Chinese Name,English Name,Lines,Is_Interchange,Barrier_Free_Facilities_Count,Facilities_AJ_Count,Facilities_HJ_Count,Facilities_MJ_Count,Facilities_VJ_Count,Station ID_poi,English Name_poi,Total_POI,GOV,CUF,TRS,RSF,CMF,UTI,BUS,MUF,SCH,AMD,TRH,REM,HNC,TRF,COM,BGD,Cluster,Cluster_Name
TAW,67.0,大圍,Tai Wai,"EAL,TML",True,21,2,5,4,10,67.0,Tai Wai,153,4.0,8.0,13.0,29.0,14.0,18.0,5.0,17.0,18.0,0.0,0.0,17.0,3.0,3.0,4.0,0.0,1,Residential
TIH,29.0,天后,Tin Hau,ISL,False,20,2,5,4,9,29.0,Tin Hau,215,14.0,5.0,9.0,73.0,23.0,9.0,10.0,16.0,21.0,18.0,0.0,13.0,1.0,1.0,2.0,0.0,1,Residential
TIK,49.0,調景嶺,Tiu Keng Leng,"KTL,TKL",True,20,2,5,4,9,49.0,Tiu Keng Leng,131,10.0,2.0,10.0,16.0,16.0,11.0,7.0,6.0,42.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,2,Commercial
TIS,118.0,天水圍,Tin Shui Wai,TML,False,22,4,5,4,9,118.0,Tin Shui Wai,158,3.0,4.0,11.0,48.0,15.0,11.0,4.0,19.0,33.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,1,Residential
TKO,50.0,將軍澳,Tseung Kwan O,TKL,False,20,2,5,4,9,50.0,Tseung Kwan O,155,15.0,3.0,25.0,7.0,35.0,8.0,8.0,7.0,38.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,2,Commercial
TKW,93.0,土瓜灣,To Kwa Wan,TML,False,21,3,5,4,9,93.0,To Kwa Wan,239,10.0,4.0,17.0,45.0,27.0,17.0,4.0,16.0,39.0,9.0,0.0,16.0,25.0,3.0,7.0,0.0,1,Residential
TSH,100.0,大水坑,Tai Shui Hang,TML,False,22,2,6,4,10,100.0,Tai Shui Hang,54,3.0,4.0,6.0,7.0,8.0,6.0,1.0,4.0,7.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,2,Commercial
TST,3.0,尖沙咀,Tsim Sha Tsui,TWL,False,21,3,5,4,9,3.0,Tsim Sha Tsui,825,21.0,26.0,50.0,29.0,75.0,8.0,11.0,15.0,9.0,566.0,1.0,13.0,0.0,0.0,1.0,0.0,0,Mixed
TSW,25.0,荃灣,Tsuen Wan,TWL,False,21,3,5,4,9,25.0,Tsuen Wan,304,24.0,9.0,25.0,39.0,45.0,20.0,17.0,22.0,29.0,17.0,0.0,27.0,18.0,1.0,9.0,2.0,1,Residential
TSY,46.0,青衣,Tsing Yi,"AEL,TCL",True,0,0,0,0,0,46.0,Tsing Yi,130,2.0,3.0,17.0,29.0,14.0,11.0,6.0,8.0,15.0,1.0,0.0,5.0,2.0,17.0,0.0,0.0,2,Commercial
TUC,43.0,東涌,Tung Chung,TCL,False,19,3,4,4,8,43.0,Tung Chung,96,10.0,4.0,11.0,7.0,10.0,7.0,4.0,11.0,13.0,3.0,0.0,3.0,7.0,3.0,3.0,0.0,2,Commercial
TUM,120.0,屯門,Tuen Mun,TML,False,21,3,5,4,9,120.0,Tuen Mun,180,9.0,7.0,35.0,26.0,36.0,11.0,6.0,14.0,9.0,2.0,0.0,11.0,6.0,3.0,3.0,2.0,2,Commercial
TWH,24.0,大窩口,Tai Wo Hau,TWL,False,20,2,5,4,9,24.0,Tai Wo Hau,233,11.0,16.0,14.0,59.0,25.0,21.0,0.0,19.0,29.0,1.0,0.0,19.0,9.0,0.0,10.0,0.0,1,Residential
TWO,73.0,太和,Tai Wo,EAL,False,21,2,5,4,10,73.0,Tai Wo,187,13.0,7.0,8.0,40.0,10.0,12.0,10.0,23.0,27.0,0.0,0.0,21.0,8.0,0.0,8.0,0.0,1,Residential
TWW,114.0,荃灣西,Tsuen Wan West,TML,False,20,2,5,4,9,114.0,Tsuen Wan West,173,4.0,4.0,32.0,57.0,28.0,9.0,7.0,10.0,11.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,2,Commercial
UNI,71.0,大學,University,EAL,False,23,4,5,4,10,71.0,University,48,6.0,2.0,9.0,9.0,0.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2,Commercial
WAC,27.0,灣仔,Wan Chai,ISL,False,20,2,5,4,9,27.0,Wan Chai,407,114.0,15.0,38.0,41.0,64.0,6.0,7.0,18.0,21.0,43.0,4.0,15.0,15.0,0.0,6.0,0.0,0,Mixed
WCH,87.0,黃竹坑,Wong Chuk Hang,SIL,False,19,3,5,4,7,87.0,Wong Chuk Hang,107,9.0,2.0,14.0,24.0,6.0,15.0,5.0,7.0,10.0,3.0,0.0,3.0,3.0,5.0,1.0,0.0,2,Commercial
WHA,85.0,黃埔,Whampoa,KTL,False,21,3,5,4,9,85.0,Whampoa,183,11.0,8.0,24.0,28.0,31.0,5.0,6.0,11.0,36.0,4.0,0.0,8.0,4.0,2.0,5.0,0.0,1,Residential
WKS,103.0,烏溪沙,Wu Kai Sha,TML,False,22,3,5,4,10,103.0,Wu Kai Sha,64,4.0,2.0,10.0,11.0,9.0,2.0,4.0,7.0,9.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2,Commercial
WTS,10.0,黃大仙,Wong Tai Sin,KTL,False,21,3,5,4,9,10.0,Wong Tai Sin,281,20.0,4.0,23.0,87.0,23.0,17.0,9.0,27.0,35.0,0.0,0.0,16.0,6.0,4.0,10.0,0.0,1,Residential
YAT,48.0,油塘,Yau Tong,"KTL,TKL",True,22,4,5,4,9,48.0,Yau Tong,120,6.0,2.0,19.0,27.0,15.0,6.0,7.0,13.0,12.0,0.0,0.0,6.0,1.0,4.0,2.0,0.0,2,Commercial
YMT,5.0,油麻地,Yau Ma Tei,"KTL,TWL",True,21,3,5,4,9,5.0,Yau Ma Tei,456,18.0,8.0,14.0,44.0,76.0,16.0,1.0,14.0,34.0,171.0,0.0,33.0,20.0,2.0,5.0,0.0,1,Residential
YUL,116.0,元朗,Yuen Long,TML,False,22,4,5,4,9,116.0,Yuen Long,177,5.0,6.0,20.0,15.0,24.0,9.0,12.0,23.0,26.0,0.0,0.0,15.0,12.0,0.0,10.0,0.0,1,Residential
